cliente,a_i,p_i,b_i,ArtNum,tramite
152,8932,178,9710,8,rapida
153,8950,139,9689,4,rapida
154,8960,159,9719,6,rapida
155,8997,171,9768,55,normal
156,9002,168,9770,17,normal
157,9005,164,9769,6,rapida
158,9032,160,9792,9,rapida
159,9068,165,9833,6,rapida
160,9095,160,9855,4,rapida
161,9124,179,9903,11,normal
162,9160,135,9895,3,rapida
163,9232,143,9975,4,rapida
164,9276,224,10100,18,normal
165,9319,177,10096,8,rapida
166,9344,139,10083,9,rapida
167,9370,150,10120,2,rapida
168,9386,185,10171,31,normal
169,9415,162,10177,1,rapida
170,9419,193,10212,17,normal
171,9492,188,10280,7,rapida
172,9498,175,10273,10,rapida
173,9542,193,10335,14,normal
174,9607,198,10405,12,normal
175,9651,130,10381,3,rapida
176,9777,219,10596,27,normal
177,9777,158,10535,5,rapida
178,9788,155,10543,6,rapida
179,9852,201,10653,29,normal
180,9855,228,10683,27,normal
181,9862,179,10641,23,normal
182,9895,226,10721,29,normal
183,9915,243,10758,15,normal
184,9947,207,10754,22,normal
185,9969,143,10712,3,rapida
186,9994,150,10744,1,rapida
187,10002,135,10737,7,rapida
188,10026,146,10772,9,rapida
189,10038,183,10821,53,normal
190,10053,139,10792,10,rapida
191,10096,152,10848,10,rapida
192,10099,220,10919,13,normal
193,10099,142,10841,4,rapida
194,10139,208,10947,18,normal
195,10163,215,10978,19,normal
196,10228,229,11057,11,normal
197,10235,190,11025,8,rapida
198,10253,153,11006,1,rapida
199,10274,148,11022,2,rapida
200,10283,145,11028,2,rapida
201,10289,199,11088,68,normal
202,10332,142,11074,4,rapida
203,10334,195,11129,37,normal
204,10339,277,11216,22,normal
205,10355,124,11079,3,rapida
206,10403,169,11172,10,rapida
207,10413,220,11233,38,normal
208,10421,184,11205,8,rapida
209,10437,138,11175,6,rapida
210,10465,234,11299,76,normal
211,10478,228,11306,41,normal
212,10531,234,11365,23,normal
213,10586,177,11363,7,rapida
214,10603,215,11418,9,rapida
215,10702,216,11518,18,normal
216,10723,200,11523,1,rapida
217,10777,231,11608,24,normal
218,10800,193,11593,11,normal
219,10804,171,11575,49,normal
220,10809,182,11591,6,rapida
221,10809,126,11535,3,rapida
222,10831,126,11557,5,rapida
223,10833,187,11620,39,normal
224,10837,165,11602,3,rapida
225,10850,150,11600,1,rapida
226,10853,204,11657,29,normal
227,10858,109,11567,2,rapida
228,10864,201,11665,15,normal
229,10884,141,11625,9,rapida
230,10905,164,11669,5,rapida
231,10905,208,11713,40,normal
232,10914,192,11706,13,normal
233,10925,164,11689,11,normal
234,10933,198,11731,11,normal
235,10944,146,11690,2,rapida
236,10947,150,11697,10,rapida
237,10949,126,11675,6,rapida
238,10983,177,11760,22,normal
239,11001,140,11741,5,rapida
240,11005,207,11812,15,normal
241,11016,217,11833,35,normal
242,11023,198,11821,24,normal
243,11036,182,11818,17,normal
244,11038,165,11803,9,rapida
245,11055,209,11864,11,normal
246,11080,279,11959,24,normal
247,11088,139,11827,2,rapida
248,11092,180,11872,3,rapida
249,11102,151,11853,8,rapida
250,11112,160,11872,1,rapida
251,11120,220,11940,13,normal
252,11127,222,11949,25,normal
253,11133,196,11929,18,normal
254,11136,189,11925,20,normal
255,11169,234,12003,14,normal
256,11173,157,11930,13,normal
257,11177,164,11941,9,rapida
258,11182,163,11945,2,rapida
259,11192,129,11921,3,rapida
260,11203,191,11994,28,normal
261,11206,132,11938,9,rapida
262,11223,109,11932,3,rapida
263,11230,143,11973,10,rapida
264,11237,250,12087,25,normal
265,11253,131,11984,3,rapida
266,11322,205,12127,39,normal
267,11330,139,12069,6,rapida
268,11333,173,12106,29,normal
269,11337,218,12155,24,normal
270,11355,198,12153,18,normal
271,11360,169,12129,20,normal
272,11386,213,12199,18,normal
273,11392,209,12201,75,normal
274,11408,145,12153,1,rapida
275,11419,208,12227,26,normal
276,11423,219,12242,32,normal
277,11424,181,12205,29,normal
278,11464,154,12218,3,rapida
279,11483,147,12230,7,rapida
280,11485,215,12300,30,normal
281,11488,211,12299,21,normal
282,11555,146,12301,2,rapida
283,11559,158,12317,5,rapida
284,11576,234,12410,44,normal
285,11577,191,12368,13,normal
286,11584,239,12423,39,normal
287,11613,149,12362,9,rapida
288,11613,171,12384,2,rapida
289,11619,227,12446,29,normal
290,11625,149,12374,8,rapida
291,11647,204,12451,15,normal
292,11667,188,12455,3,rapida
293,11689,128,12417,3,rapida
294,11706,142,12448,7,rapida
295,11726,136,12462,4,rapida
296,11728,208,12536,15,normal
297,11744,159,12503,12,normal
298,11791,154,12545,2,rapida
299,11804,128,12532,1,rapida
300,11810,172,12582,8,rapida
301,11816,120,12536,4,rapida
302,11860,207,12667,32,normal
303,11953,132,12685,2,rapida
304,11954,225,12779,24,normal
305,11963,201,12764,32,normal
306,11965,234,12799,11,normal
307,11987,218,12805,40,normal
308,12002,260,12862,20,normal
309,12013,192,12805,20,normal
310,12014,121,12735,6,rapida
311,12022,145,12767,10,rapida
312,12032,223,12855,29,normal
313,12035,177,12812,43,normal
314,12053,203,12856,28,normal
315,12068,154,12822,9,rapida
316,12077,220,12897,31,normal
317,12089,117,12806,4,rapida
318,12098,224,12922,60,normal
319,12099,141,12840,7,rapida
320,12119,175,12894,8,rapida
321,12136,199,12935,19,normal
322,12138,183,12921,8,rapida
323,12157,167,12924,3,rapida
324,12176,237,13013,15,normal
325,12195,243,13038,13,normal
326,12223,103,12926,3,rapida
327,12263,151,13014,3,rapida
328,12270,178,13048,2,rapida
329,12298,192,13090,25,normal
330,12305,139,13044,9,rapida
331,12323,204,13127,47,normal
332,12354,124,13078,9,rapida
333,12359,201,13160,45,normal
334,12359,176,13135,3,rapida
335,12362,180,13142,5,rapida
336,12398,196,13194,19,normal
337,12401,241,13242,18,normal
338,12436,241,13277,44,normal
339,12439,149,13188,5,rapida
340,12449,124,13173,1,rapida
341,12462,115,13177,8,rapida
342,12465,202,13267,41,normal
343,12475,223,13298,43,normal
344,12476,157,13233,4,rapida
345,12484,136,13220,6,rapida
346,12495,233,13328,19,normal
347,12499,148,13247,9,rapida
348,12516,213,13329,22,normal
349,12519,200,13319,17,normal
350,12539,191,13330,52,normal
351,12561,145,13306,3,rapida
352,12578,225,13403,11,normal
353,12606,131,13337,9,rapida
354,12606,114,13320,4,rapida
355,12639,179,13418,32,normal
356,12642,201,13443,30,normal
357,12657,140,13397,9,rapida
358,12715,197,13512,18,normal
359,12724,152,13476,6,rapida
360,12737,153,13490,4,rapida
361,12740,134,13474,10,rapida
362,12798,178,13576,13,normal
363,12802,205,13607,18,normal
364,12826,179,13605,2,rapida
365,12866,203,13669,49,normal
366,12892,126,13618,3,rapida
367,12910,100,13610,1,rapida
368,12924,172,13696,10,rapida
369,12926,186,13712,34,normal
370,12982,152,13734,1,rapida
371,12999,140,13739,9,rapida
372,13012,160,13772,2,rapida
373,13015,240,13855,31,normal
374,13028,225,13853,28,normal
375,13041,144,13785,4,rapida
376,13099,120,13819,3,rapida
377,13112,121,13833,9,rapida
378,13126,208,13934,29,normal
379,13128,229,13957,12,normal
380,13133,236,13969,40,normal
381,13155,241,13996,25,normal
382,13155,125,13880,4,rapida
383,13188,143,13931,8,rapida
384,13221,192,14013,73,normal
385,13226,229,14055,24,normal
386,13244,137,13981,4,rapida
387,13285,172,14057,10,rapida
388,13296,136,14032,4,rapida
389,13305,203,14108,22,normal
390,13315,212,14127,32,normal
391,13331,135,14066,5,rapida
392,13337,132,14069,1,rapida
393,13345,193,14138,13,normal
394,13362,207,14169,17,normal
395,13369,230,14199,13,normal
396,13372,131,14103,6,rapida
397,13385,249,14234,16,normal
398,13424,131,14155,10,rapida
399,13443,122,14165,1,rapida
400,13445,205,14250,36,normal
401,13450,187,14237,44,normal
402,13459,253,14312,51,normal
403,13519,191,14310,94,normal
404,13583,153,14336,4,rapida
405,13640,171,14411,14,normal
406,13654,195,14449,17,normal
407,13660,146,14406,3,rapida
408,13668,145,14413,1,rapida
409,13698,160,14458,15,normal
410,13715,116,14431,8,rapida
411,13734,234,14568,18,normal
412,13737,158,14495,9,rapida
413,13749,160,14509,6,rapida
414,13754,187,14541,1,rapida
415,13756,159,14515,4,rapida
416,13762,168,14530,17,normal
417,13779,190,14569,15,normal
418,13805,182,14587,17,normal
419,13805,210,14615,18,normal
420,13818,249,14667,50,normal
421,13829,219,14648,17,normal
422,13846,193,14639,4,rapida
423,13848,179,14627,28,normal
424,13851,265,14716,11,normal
425,13891,134,14625,7,rapida
426,13895,216,14711,71,normal
427,13903,231,14734,23,normal
428,13911,188,14699,9,rapida
429,13917,175,14692,11,normal
430,13938,160,14698,7,rapida
431,13957,157,14714,6,rapida
432,13968,144,14712,3,rapida
433,13973,140,14713,5,rapida
434,13983,258,14841,17,normal
435,13997,135,14732,1,rapida
436,14002,189,14791,6,rapida
437,14400,144,15144,10,rapida
438,14420,199,15219,34,normal
439,14450,173,15223,73,normal
440,14492,160,15252,8,rapida
441,14532,213,15345,12,normal
442,14540,231,15371,18,normal
443,14553,165,15318,10,rapida
444,14563,222,15385,14,normal
445,14572,165,15337,8,rapida
446,14581,153,15334,1,rapida
447,14593,222,15415,22,normal
448,14627,188,15415,1,rapida
449,14643,220,15463,11,normal
450,14645,158,15403,2,rapida
451,14674,211,15485,22,normal
452,14688,135,15423,7,rapida
453,14708,174,15482,29,normal
454,14723,141,15464,1,rapida
455,14740,203,15543,49,normal
456,14757,200,15557,14,normal
457,14758,241,15599,25,normal
458,14777,117,15494,2,rapida
459,14782,234,15616,13,normal
460,14788,197,15585,12,normal
461,14800,155,15555,1,rapida
462,14847,227,15674,11,normal
463,14850,206,15656,18,normal
464,14861,171,15632,14,normal
465,14870,162,15632,2,rapida
466,14898,159,15657,11,normal
467,14906,164,15670,3,rapida
468,14921,160,15681,5,rapida
469,14924,223,15747,29,normal
470,14957,144,15701,10,rapida
471,14958,148,15706,4,rapida
472,14977,148,15725,9,rapida
473,14992,172,15764,8,rapida
474,15009,111,15720,1,rapida
475,15010,138,15748,10,rapida
476,15018,184,15802,40,normal
477,15045,184,15829,25,normal
478,15099,127,15826,6,rapida
479,15109,192,15901,63,normal
480,15134,200,15934,2,rapida
481,15147,224,15971,17,normal
482,15158,177,15935,7,rapida
483,15165,139,15904,4,rapida
484,15177,120,15897,6,rapida
485,15200,235,16035,30,normal
486,15224,234,16058,16,normal
487,15226,169,15995,38,normal
488,15232,191,16023,23,normal
489,15235,125,15960,4,rapida
490,15247,172,16019,5,rapida
491,15255,187,16042,16,normal
492,15272,224,16096,24,normal
493,15289,117,16006,6,rapida
494,15289,149,16038,1,rapida
495,15301,167,16068,1,rapida
496,15336,171,16107,39,normal
497,15342,191,16133,20,normal
498,15348,123,16071,6,rapida
499,15378,148,16126,9,rapida
500,15403,139,16142,7,rapida
501,15406,204,16210,22,normal
502,15430,226,16256,23,normal
503,15434,209,16243,16,normal
504,15440,216,16256,12,normal
505,15443,137,16180,5,rapida
506,15445,204,16249,26,normal
507,15458,232,16290,24,normal
508,15459,234,16293,39,normal
509,15473,220,16293,11,normal
510,15486,234,16320,27,normal
511,15496,276,16372,12,normal
512,15503,133,16236,2,rapida
513,15508,169,16277,7,rapida
514,15511,183,16294,1,rapida
515,15553,226,16379,19,normal
516,15562,207,16369,12,normal
517,15571,216,16387,19,normal
518,15574,237,16411,19,normal
519,15613,143,16356,5,rapida
520,15618,198,16416,19,normal
521,15633,180,16413,25,normal
522,15652,157,16409,3,rapida
523,15665,197,16462,18,normal
524,15666,216,16482,18,normal
525,15688,149,16437,1,rapida
526,15694,113,16407,5,rapida
527,15719,206,16525,37,normal
528,15730,142,16472,9,rapida
529,15749,187,16536,20,normal
530,15785,110,16495,2,rapida
531,15807,138,16545,6,rapida
532,15827,212,16639,13,normal
533,15850,148,16598,7,rapida
534,15854,165,16619,4,rapida
535,15880,154,16634,5,rapida
536,15889,170,16659,4,rapida
537,15898,243,16741,26,normal
538,15910,130,16640,3,rapida
539,15918,219,16737,28,normal
540,15921,183,16704,15,normal
541,15933,223,16756,13,normal
542,15941,202,16743,17,normal
543,15950,179,16729,2,rapida
544,15960,183,16743,6,rapida
545,15969,109,16678,10,rapida
546,16009,263,16872,46,normal
547,16047,116,16763,6,rapida
548,16059,221,16880,32,normal
549,16071,147,16818,6,rapida
550,16071,136,16807,8,rapida
551,16077,139,16816,4,rapida
552,16100,154,16854,10,rapida
553,16107,194,16901,14,normal
554,16138,171,16909,10,rapida
555,16167,225,16992,11,normal
556,16172,129,16901,1,rapida
557,16186,175,16961,8,rapida
558,16229,133,16962,1,rapida
559,16230,205,17035,1,rapida
560,16237,214,17051,13,normal
561,16238,240,17078,21,normal
562,16242,180,17022,4,rapida
563,16296,135,17031,4,rapida
564,16304,197,17101,26,normal
565,16304,221,17125,11,normal
566,16307,174,17081,24,normal
567,16308,211,17119,20,normal
568,16321,183,17104,32,normal
569,16339,213,17152,26,normal
570,16366,218,17184,45,normal
571,16388,121,17109,8,rapida
572,16389,220,17209,20,normal
573,16406,197,17203,11,normal
574,16416,135,17151,2,rapida
575,16446,132,17178,3,rapida
576,16470,162,17232,10,rapida
577,16530,211,17341,18,normal
578,16534,109,17243,2,rapida
579,16536,237,17373,29,normal
580,16543,252,17395,71,normal
581,16553,212,17365,20,normal
582,16558,237,17395,18,normal
583,16562,189,17351,20,normal
584,16578,116,17294,8,rapida
585,16584,200,17384,19,normal
586,16589,161,17350,4,rapida
587,16590,131,17321,3,rapida
588,16590,215,17405,14,normal
589,16629,207,17436,38,normal
590,16666,204,17470,19,normal
591,16691,234,17525,13,normal
592,16711,138,17449,8,rapida
593,16717,186,17503,29,normal
594,16737,167,17504,9,rapida
595,16740,188,17528,22,normal
596,16752,180,17532,11,normal
597,16756,172,17528,8,rapida
598,16777,216,17593,58,normal
599,16823,202,17625,43,normal
600,16826,178,17604,1,rapida
601,16832,231,17663,20,normal
602,16844,165,17609,2,rapida
603,16845,214,17659,13,normal
604,16845,196,17641,20,normal
605,16890,193,17683,31,normal
606,16906,144,17650,8,rapida
607,16911,142,17653,5,rapida
608,16922,159,17681,18,normal
609,16929,205,17734,21,normal
610,16942,139,17681,3,rapida
611,16948,123,17671,5,rapida
612,16959,183,17742,22,normal
613,16981,235,17816,20,normal
614,17002,200,17802,30,normal
615,17045,176,17821,16,normal
616,17062,240,17902,11,normal
617,17074,129,17803,9,rapida
618,17121,205,17926,35,normal
619,17130,223,17953,29,normal
620,17156,196,17952,20,normal
621,17171,242,18013,24,normal
622,17182,190,17972,13,normal
623,17208,174,17982,9,rapida
624,17215,202,18017,16,normal
625,17241,170,18011,17,normal
626,17246,133,17979,5,rapida
627,17249,241,18090,30,normal
628,17274,123,17997,10,rapida
629,17310,177,18087,5,rapida
630,17318,118,18036,6,rapida
631,17343,153,18096,10,rapida
632,17361,105,18066,1,rapida
633,17416,190,18206,10,rapida
634,17433,194,18227,40,normal
635,17468,187,18255,7,rapida
636,17474,125,18199,7,rapida
637,17475,146,18221,3,rapida
638,17504,127,18231,4,rapida
639,17505,127,18232,1,rapida
640,17529,139,18268,3,rapida
641,17531,216,18347,31,normal
642,17547,220,18367,61,normal
643,17603,236,18439,16,normal
644,17625,214,18439,14,normal
645,17634,207,18441,21,normal
646,17652,162,18414,3,rapida
647,17659,233,18492,16,normal
648,17733,219,18552,31,normal
649,17737,162,18499,9,rapida
650,17748,203,18551,22,normal
651,17768,242,18610,15,normal
652,17785,221,18606,19,normal
653,17804,181,18585,39,normal
654,17810,248,18658,32,normal
655,17819,159,18578,7,rapida
656,18000,196,18796,15,normal
657,18025,236,18861,27,normal
658,18048,144,18792,3,rapida
659,18063,164,18827,5,rapida
660,18097,177,18874,55,normal
661,18123,233,18956,25,normal
662,18146,182,18928,20,normal
663,18146,214,18960,16,normal
664,18161,123,18884,5,rapida
665,18174,220,18994,22,normal
666,18212,204,19016,33,normal
667,18219,210,19029,17,normal
668,18219,186,19005,15,normal
669,18251,153,19004,3,rapida
670,18266,148,19014,5,rapida
671,18270,142,19012,6,rapida
672,18275,230,19105,12,normal
673,18294,154,19048,3,rapida
674,18312,108,19020,5,rapida
675,18343,215,19158,18,normal
676,18351,128,19079,2,rapida
677,18356,190,19146,28,normal
678,18369,216,19185,15,normal
679,18379,160,19139,1,rapida
680,18386,148,19134,8,rapida
681,18421,217,19238,21,normal
682,18483,117,19200,8,rapida
683,18509,147,19256,6,rapida
684,18517,211,19328,12,normal
685,18532,136,19268,9,rapida
686,18544,175,19319,4,rapida
687,18567,159,19326,15,normal
688,18587,124,19311,1,rapida
689,18594,125,19319,5,rapida
690,18597,200,19397,39,normal
691,18611,229,19440,21,normal
692,18617,157,19374,2,rapida
693,18618,222,19440,41,normal
694,18623,221,19444,18,normal
695,18624,144,19368,9,rapida
696,18633,215,19448,16,normal
697,18699,232,19531,31,normal
698,18706,143,19449,4,rapida
699,18713,196,19509,13,normal
700,18722,191,19513,32,normal
701,18759,205,19564,1,rapida
702,18824,163,19587,8,rapida
703,18871,255,19726,12,normal
704,18897,193,19690,44,normal
705,18900,141,19641,7,rapida
706,18926,115,19641,3,rapida
707,18928,181,19709,29,normal
708,18929,203,19732,19,normal
709,18940,211,19751,17,normal
710,18950,139,19689,4,rapida
711,18959,233,19792,12,normal
712,18965,122,19687,8,rapida
713,18981,201,19782,25,normal
714,18993,200,19793,13,normal
715,19015,129,19744,5,rapida
716,19039,209,19848,34,normal
717,19053,197,19850,21,normal
718,19058,177,19835,21,normal
719,19063,182,19845,11,normal
720,19069,240,19909,27,normal
721,19084,226,19910,26,normal
722,19104,208,19912,36,normal
723,19109,129,19838,7,rapida
724,19143,222,19965,20,normal
725,19151,227,19978,31,normal
726,19205,195,20000,18,normal
727,19216,186,20002,50,normal
728,19240,237,20077,23,normal
729,19241,163,20004,40,normal
730,19245,222,20067,14,normal
731,19252,173,20025,5,rapida
732,19254,213,20067,17,normal
733,19261,234,20095,28,normal
734,19268,119,19987,6,rapida
735,19298,223,20121,19,normal
736,19316,170,20086,2,rapida
737,19342,222,20164,21,normal
738,19397,158,20155,8,rapida
739,19418,188,20206,13,normal
740,19421,158,20179,4,rapida
741,19428,128,20156,4,rapida
742,19442,166,20208,1,rapida
743,19477,93,20170,6,rapida
744,19477,126,20203,8,rapida
745,19495,228,20323,24,normal
746,19496,184,20280,1,rapida
747,19501,173,20274,1,rapida
748,19502,189,20291,7,rapida
749,19506,219,20325,39,normal
750,19528,149,20277,3,rapida
751,19535,191,20326,22,normal
752,19538,214,20352,51,normal
753,19541,144,20285,6,rapida
754,19543,139,20282,6,rapida
755,19564,184,20348,29,normal
756,19574,205,20379,63,normal
757,19589,268,20457,72,normal
758,19590,204,20394,1,rapida
759,19601,162,20363,7,rapida
760,19601,123,20324,10,rapida
761,19631,180,20411,2,rapida
762,19649,144,20393,6,rapida
763,19658,100,20358,8,rapida
764,19658,187,20445,11,normal
765,19661,177,20438,28,normal
766,19662,132,20394,8,rapida
767,19670,173,20443,2,rapida
768,19686,182,20468,56,normal
769,19700,158,20458,6,rapida
770,19741,163,20504,3,rapida
771,19750,180,20530,5,rapida
772,19783,112,20495,10,rapida
773,19790,132,20522,9,rapida
774,19807,149,20556,4,rapida
775,19815,205,20620,12,normal
776,19829,174,20603,4,rapida
777,19839,225,20664,13,normal
778,19843,126,20569,6,rapida
779,19857,210,20667,13,normal
780,19876,140,20616,8,rapida
781,19897,148,20645,4,rapida
782,19910,131,20641,3,rapida
783,19910,147,20657,7,rapida
784,19925,144,20669,1,rapida
785,19927,179,20706,13,normal
786,19939,136,20675,5,rapida
787,19952,166,20718,9,rapida
788,19953,161,20714,4,rapida
789,19963,167,20730,2,rapida
790,19964,225,20789,14,normal
791,19964,170,20734,3,rapida
792,19965,187,20752,3,rapida
793,19974,168,20742,14,normal
794,19982,117,20699,5,rapida
795,19988,119,20707,4,rapida
796,20006,164,20770,9,rapida
797,20013,181,20794,13,normal
798,20029,196,20825,12,normal
799,20050,236,20886,17,normal
800,20119,211,20930,16,normal
801,20128,138,20866,1,rapida
802,20158,135,20893,8,rapida
803,20171,132,20903,4,rapida
804,20185,168,20953,1,rapida
805,20194,212,21006,22,normal
806,20206,202,21008,4,rapida
807,20214,179,20993,14,normal
808,20240,198,21038,29,normal
809,20244,231,21075,15,normal
810,20245,170,21015,5,rapida
811,20250,217,21067,17,normal
812,20255,137,20992,5,rapida
813,20260,167,21027,1,rapida
814,20269,118,20987,2,rapida
815,20274,97,20971,6,rapida
816,20283,143,21026,3,rapida
817,20288,226,21114,34,normal
818,20304,208,21112,24,normal
819,20372,112,21084,1,rapida
820,20384,138,21122,1,rapida
821,20390,232,21222,27,normal
822,20441,179,21220,14,normal
823,20454,152,21206,6,rapida
824,20463,204,21267,85,normal
825,20472,209,21281,1,rapida
826,20484,221,21305,12,normal
827,20489,177,21266,7,rapida
828,20490,113,21203,3,rapida
829,20491,173,21264,35,normal
830,20543,155,21298,18,normal
831,20554,114,21268,1,rapida
832,20559,131,21290,6,rapida
833,20570,193,21363,6,rapida
834,20580,114,21294,1,rapida
835,20581,255,21436,26,normal
836,20606,211,21417,12,normal
837,20614,132,21346,3,rapida
838,20625,171,21396,22,normal
839,20663,132,21395,3,rapida
840,20665,157,21422,4,rapida
841,20669,168,21437,4,rapida
842,20683,211,21494,18,normal
843,20707,162,21469,1,rapida
844,20712,181,21493,44,normal
845,20717,154,21471,5,rapida
846,20736,188,21524,30,normal
847,20800,117,21517,4,rapida
848,20811,150,21561,2,rapida
849,20814,181,21595,4,rapida
850,20817,191,21608,3,rapida
851,20825,237,21662,32,normal
852,20848,156,21604,7,rapida
853,20935,113,21648,5,rapida
854,20943,196,21739,11,normal
855,20954,157,21711,8,rapida
856,20998,144,21742,4,rapida
857,21012,115,21727,1,rapida
858,21025,196,21821,106,normal
859,21062,181,21843,39,normal
860,21074,125,21799,9,rapida
861,21076,128,21804,8,rapida
862,21108,164,21872,4,rapida
863,21108,189,21897,10,rapida
864,21135,201,21936,16,normal
865,21145,213,21958,26,normal
866,21152,196,21948,35,normal
867,21159,160,21919,9,rapida
868,21168,264,22032,21,normal
869,21174,165,21939,5,rapida
870,21190,146,21936,2,rapida
871,21196,185,21981,13,normal
872,21207,135,21942,2,rapida
873,21207,185,21992,32,normal
874,21217,161,21978,3,rapida
875,21223,154,21977,9,rapida
876,21248,200,22048,26,normal
877,21255,130,21985,7,rapida
878,21277,152,22029,6,rapida
879,21297,260,22157,29,normal
880,21317,147,22064,3,rapida
881,21324,140,22064,4,rapida
882,21335,226,22161,48,normal
883,21351,196,22147,88,normal
884,21362,190,22152,15,normal
885,21370,196,22166,48,normal
886,21373,185,22158,17,normal
887,21383,199,22182,16,normal
888,21384,204,22188,27,normal
889,21386,134,22120,10,rapida
890,21406,156,22162,9,rapida
891,21419,135,22154,6,rapida
892,21439,225,22264,14,normal
893,21443,202,22245,10,rapida
894,21471,219,22290,75,normal
895,21472,199,22271,16,normal
896,21474,159,22233,4,rapida
897,21501,246,22347,46,normal
898,21513,193,22306,248,normal
899,21533,157,22290,7,rapida
900,21546,176,22322,32,normal
